english,french
the,la
of,de
and,et
to,à
a,une
in,dans
for,pour
is,est
on,sur
that,cette
by,par
this,ce
with,avec
i,je
you,vous
it,il
not,ne pas
or,ou
be,être
are,sont
from,de
at,à
as,comme
your,votre
all,tout
have,avoir
new,Nouveau
more,plus
an,un
was,était
we,nous
will,volonté
home,maison
can,pouvez
us,nous
about,sur
if,si
page,page
my,mon
has,a
search,chercher
free,libre
but,mais
our,notre
one,un
other,autre
do,faire
no,non
information,information
time,temps
they,ils
site,site
he,il
up,en haut
may,peut
what,quoi
which,lequel
their,leur
news,nouvelles
out,en dehors
use,utilisation
any,tout
there,Là
see,voir
only,seulement
so,alors
his,le sien
when,quand
contact,contact
here,ici
business,affaires
who,qui
web,le web
also,également
now,à présent
help,Aidez-moi
get,obtenir
pm,pm
view,vue
online,en ligne
c,c
e,e
first,premier
am,un m
been,été
would,aurait
how,Comment
were,étaient
me,moi
s,s
services,prestations de service
some,certains
these,celles-ci
click,Cliquez sur
its,ses
like,comme
service,un service
x,X
than,que
find,trouver
price,prix
date,rendez-vous amoureux
back,retour
top,Haut
people,personnes
had,eu
list,liste
name,prénom
just,juste
over,plus de
state,Etat
year,année
day,journée
into,dans
email,email
two,deux
health,santé
n,n
world,monde
re,ré
next,suivant
used,utilisé
go,aller
b,b
work,travail
last,dernier
most,plus
products,des produits
music,la musique
buy,acheter
data,Les données
make,faire
them,leur
should,devrait
product,produit
system,système
post,poster
her,sa
city,ville
t,t
add,ajouter
policy,politique
number,nombre
such,tel
please,S'il vous plaît
available,disponible
copyright,droits d'auteur
support,soutien
message,message
after,après
best,meilleur
software,Logiciel
then,puis
jan,Jan
good,bien
video,vidéo
well,bien
d,ré
where,où
info,Info
rights,droits
public,Publique
books,livres
high,haute
school,école
through,à travers
m,m
each,chaque
links,liens
she,elle
review,la revue
years,années
order,ordre
very,très
privacy,intimité
book,livre
items,articles
company,entreprise
r,r
read,lis
group,groupe
need,avoir besoin
many,beaucoup
user,utilisateur
said,m'a dit
de,de
does,Est-ce que
set,ensemble
under,sous
general,général
research,recherche
university,Université
january,janvier
mail,courrier
full,plein
map,carte
reviews,avis
program,programme
life,la vie
know,savoir
games,Jeux
way,façon
days,journées
management,la gestion
p,p
part,partie
could,pourrait
great,génial
united,uni
hotel,un hôtel
real,réal
f,F
item,article
international,international
center,centre
ebay,eBay
must,doit
store,le magasin
travel,Voyage
comments,commentaires
made,fabriqué
development,développement
report,rapport
off,de
member,membre
details,détails
line,ligne
terms,termes
before,avant
hotels,hôtels
did,fait
send,envoyer
right,droite
type,type
because,parce que
local,local
those,ceux
using,en utilisant
results,résultats
office,Bureau
education,éducation
national,nationale
car,voiture
design,conception
take,prendre
posted,posté
internet,l'Internet
address,adresse
community,communauté
within,dans
states,États
area,surface
want,vouloir
phone,téléphone
dvd,DVD
shipping,livraison
reserved,réservé
subject,assujettir
between,entre
forum,forum
family,famille
l,l
long,longue
based,basé
w,w
code,code
show,spectacle
o,o
even,même
black,noir
check,vérifier
special,spécial
prices,des prix
website,site Internet
index,indice
being,étant
women,femmes
much,beaucoup
sign,signe
file,fichier
link,lien
open,ouvrir
today,aujourd'hui
technology,La technologie
south,Sud
case,Cas
project,projet
same,même
pages,des pages
uk,Royaume-Uni
version,version
section,section
own,posséder
found,a trouvé
sports,des sports
house,maison
related,en relation
security,Sécurité
both,tous les deux
g,g
county,comté
american,américain
photo,photo
game,Jeu
members,membres
power,Puissance
while,tandis que
care,se soucier
network,réseau
down,vers le bas
computer,ordinateur
systems,systèmes
three,Trois
total,total
place,endroit
end,fin
following,Suivant
download,Télécharger
h,h
him,lui
without,sans pour autant
per,par
access,accès
think,pense
north,Nord
resources,Ressources
current,actuel
posts,des postes
big,gros
media,médias
law,loi
control,contrôle
water,eau
history,l'histoire
pictures,des photos
size,Taille
art,art
personal,personnel
since,puisque
including,comprenant
guide,guider
shop,boutique
directory,annuaire
board,planche
location,emplacement
change,changement
white,blanc
text,texte
small,petit
rating,évaluation
rate,taux
government,gouvernement
children,les enfants
during,pendant
usa,Etats-Unis
return,revenir
students,étudiants
v,v
shopping,achats
account,Compte
times,fois
sites,des sites
level,niveau
digital,numérique
profile,profil
previous,précédent
form,forme
events,événements
love,amour
old,vieux
john,John
main,principale
call,appel
hours,heures
image,image
department,département
title,Titre
description,la description
non,non
k,k
y,y
insurance,Assurance
another,un autre
why,Pourquoi
shall,doit
property,propriété
class,classe
cd,CD
still,encore
money,argent
quality,qualité
every,chaque
listing,inscription
content,contenu
country,pays
private,privé
little,peu
visit,visite
save,enregistrer
tools,outils
low,faible
reply,répondre
customer,client
december,décembre
compare,comparer
movies,films
include,comprendre
college,Université
value,valeur
article,article
york,york
man,homme
card,carte
jobs,emplois
provide,fournir
j,j
food,aliments
source,la source
author,auteur
different,différent
press,presse
u,vous
learn,apprendre
sale,vente
around,autour
print,impression
course,cours
job,emploi
canada,Canada
process,processus
teen,adolescent
room,pièce
stock,Stock
training,entraînement
too,aussi
credit,crédit
point,point
join,joindre
science,science
men,Hommes
categories,catégories
advanced,Avancée
west,Ouest
sales,Ventes
look,Regardez
english,Anglais
left,la gauche
team,équipe
estate,biens
box,boîte
conditions,conditions
select,sélectionner
windows,les fenêtres
photos,Photos
gay,gay
thread,fil
week,la semaine
category,Catégorie
note,Remarque
live,vivre
large,grand
gallery,Galerie
table,table
register,registre
however,toutefois
june,juin
october,octobre
november,novembre
market,marché
library,bibliothèque
really,vraiment
action,action
start,début
series,séries
model,modèle
features,fonctionnalités
air,air
industry,industrie
plan,plan
human,Humain
provided,à condition de
tv,la télé
yes,Oui
required,Champs obligatoires
second,seconde
hot,chaud
accessories,accessoires
cost,Coût
movie,film
forums,des forums
march,Mars
la,la
september,septembre
better,meilleur
say,dire
questions,des questions
july,juillet
yahoo,yahoo
going,Aller
medical,médical
test,tester
friend,ami
come,viens
dec,déc
server,serveur
pc,pc
study,étude
application,application
cart,Chariot
staff,Personnel
articles,des articles
san,san
feedback,retour d'information
again,encore
play,jouer
looking,regardant
issues,problèmes
april,avril
never,jamais
users,utilisateurs
complete,Achevée
street,rue
topic,sujet
comment,commentaire
financial,financier
things,des choses
working,travail
against,contre
standard,la norme
tax,impôt
person,la personne
below,au dessous de
mobile,mobile
less,Moins
got,eu
blog,Blog
party,fête
payment,Paiement
equipment,équipement
login,s'identifier
student,étudiant
let,laisser
programs,programmes
offers,des offres
legal,légal
above,au dessus de
recent,récent
park,parc
stores,magasins
side,côté
act,acte
problem,problème
red,rouge
give,donner
memory,Mémoire
performance,performance
social,social
q,q
august,août
quote,citation
language,la langue
story,récit
sell,vendre
options,options
experience,expérience
rates,les taux
create,créer
key,clé
body,corps
young,Jeune
america,Amérique
important,important
field,champ
few,peu
east,est
paper,papier
single,unique
ii,ii
age,âge
activities,Activités
club,club
example,Exemple
girls,filles
additional,Additionnel
password,mot de passe
z,z
latest,dernier
something,quelque chose
road,route
gift,cadeau
question,question
changes,changements
night,nuit
ca,Californie
hard,difficile
texas,Texas
oct,oct
pay,Payer
four,quatre
poker,poker
status,statut
browse,Feuilleter
issue,problème
range,intervalle
building,bâtiment
seller,vendeur
court,tribunal
february,février
always,toujours
result,résultat
audio,l'audio
light,lumière
write,écrire
war,guerre
nov,nov
offer,offre
blue,bleu
groups,groupes
al,Al
easy,facile
given,donné
files,des dossiers
event,un événement
release,Libération
analysis,une analyse
request,demande
fax,fax
china,Chine
making,fabrication
picture,image
needs,Besoins
possible,possible
might,pourrait
professional,professionnel
yet,encore
month,mois
major,Majeur
star,étoile
areas,des zones
future,futur
space,espace
committee,Comité
hand,main
sun,Soleil
cards,cartes
problems,problèmes
london,Londres
washington,Washington
meeting,réunion
rss,rss
become,devenir
interest,intérêt
id,identifiant
child,enfant
keep,garder
enter,entrer
california,Californie
share,partager
similar,similaire
garden,jardin
schools,écoles
million,million
added,ajoutée
reference,référence
companies,entreprises
listed,énumérés
baby,bébé
learning,apprentissage
energy,énergie
run,courir
delivery,livraison
net,net
popular,populaire
term,terme
film,film
stories,histoires
put,mettre
computers,des ordinateurs
journal,journal
reports,rapports
co,co
try,essayer
welcome,Bienvenue
central,central
images,images
president,Président
notice,remarquer
original,original
head,tête
radio,radio
until,jusqu'à ce que
cell,cellule
color,Couleur
self,soi
council,conseil
away,une façon
includes,comprend
track,Piste
australia,Australie
discussion,discussion
